URL,MobileURL,Date,Title
"https://www.zdnet.fr/actualites/la-penurie-de-puces-continue-de-poser-de-gros-problemes-aux-constructeurs-automobiles-39929791.htm","/amp/actualites/la-penurie-de-puces-continue-de-poser-de-gros-problemes-aux-constructeurs-automobiles-39929791.htm","2021-09-24 14:30:00","La pénurie de puces continue de poser de gros problèmes aux constructeurs automobiles"
"https://money.kompas.com/read/2021/08/31/123707126/ketergantungan-impor-komponen-chip-ternyata-indonesia-sempat-ekspor-ke-luar","https://amp.kompas.com/money/read/2021/08/31/123707126/ketergantungan-impor-komponen-chip-ternyata-indonesia-sempat-ekspor-ke-luar","2021-08-31 08:15:00","Ketergantungan Impor Komponen Chip , Ternyata Indonesia Sempat Ekspor ke Luar Negeri"
"https://www.antaranews.com/berita/2413405/gedung-putih-minta-penjelasan-tentang-krisis-semikonduktor","https://m.antaranews.com/amp/berita/2413405/gedung-putih-minta-penjelasan-tentang-krisis-semikonduktor","2021-09-24 05:15:00","Gedung putih minta penjelasan tentang krisis semikonduktor"
"https://www.stiripesurse.ro/directorul-daimler-avertizeaza-ca-producatorii-auto-s-ar-putea-confrunta-cu-deficitul-de-cipuri-pana-in-2023_1980124.html","https://www.stiripesurse.ro/amp.php?article_id=1980124","2021-09-06 15:15:00","Directorul Daimler avertizează că producătorii auto s - ar putea confrunta cu deficitul de cipuri până în 2023"
"https://amanz.my/2021303512/","","2021-09-09 04:30:00","Isu Bekalan Cip Semikonduktor Buatan Malaysia Akan Berterusan Untuk Seketika , Tetapi Usaha Sedang Digiatkan Untuk Meningkatkan Pengeluaran"
"https://futurezone.at/b2b/ps5-xbox-series-x-2023-chips-mangel-krise/401725503","https://futurezone.at/amp/b2b/ps5-xbox-series-x-2023-chips-mangel-krise/401725503","2021-09-05 09:00:00","PS5 und Xbox Series X bleiben bis 2023 Mangelware"
"https://www.cnnindonesia.com/teknologi/20210823144725-384-684093/krisis-chip-otomotif-diprediksi-hingga-2023","https://www.cnnindonesia.com/teknologi/20210823144725-384-684093/krisis-chip-otomotif-diprediksi-hingga-2023/amp","2021-09-07 10:30:00","Krisis Chip Otomotif Diprediksi hingga 2023"
"https://www.indiatoday.in/business/story/decoded-how-chip-shortage-has-hurt-global-economy-1828911-2021-07-16","https://www.indiatoday.in/amp/business/story/decoded-how-chip-shortage-has-hurt-global-economy-1828911-2021-07-16","2021-07-16 09:30:00","Decoded : Impact of semiconductor chip shortage on global economy"
"https://www.dostor.org/3554493","","2021-08-29 10:30:00","بلومبرج : النقص في رقائق صناعة السيارات لم ينتهِ بعد"
"https://www.antaranews.com/berita/2323038/terkendala-chip-samsung-pastikan-stok-ponsel-baru","https://m.antaranews.com/amp/berita/2323038/terkendala-chip-samsung-pastikan-stok-ponsel-baru","2021-08-12 11:30:00","Terkendala chip , Samsung pastikan stok ponsel baru"
"https://otomotif.antaranews.com/berita/2393169/hyundai-sementara-tutup-pabrik-karena-krisis-semikonduktor","https://m.antaranews.com/amp/berita/2393169/hyundai-sementara-tutup-pabrik-karena-krisis-semikonduktor","2021-09-15 00:45:00","Hyundai sementara tutup pabrik karena krisis semikonduktor"
"https://www.kommersant.ru/doc/5007813","https://www.kommersant.ru/amp/5007813","2021-09-28 19:15:00","Глава Ford заявил об улучшении ситуации с поставками чипов"
"https://rri.co.id/ekonomi/1172065/menperin-dorong-investasi-di-sektor-industri-chip","","2021-09-01 01:00:00","Menperin Dorong Investasi di Sektor Industri Chip"
"https://amanz.my/2021295374/","","2021-07-15 05:45:00","Stok Snapdragon 780G Dilaporkan Habis Memaksa Pengeluar Menggunakan Snapdragon 778G"
"https://www.lrt.lt/naujienos/verslas/4/1471872/lustu-krize-issukiu-gamyboje-patyre-ir-tokios-milzines-kaip-apple-ir-sony","","2021-08-19 08:00:00","Lustų krizė : iššūkių gamyboje patyrė ir tokios milžinės kaip „ Apple  ir „ Sony  "
"https://forsal.pl/motoforsal/motobiznes/artykuly/8230403,koncerny-motoryzacyjne-wygaszaja-produkcje-ceny-aut-bija-kolejne-rekordy.html","https://forsal.pl/motoforsal/motobiznes/artykuly/8230403,koncerny-motoryzacyjne-wygaszaja-produkcje-ceny-aut-bija-kolejne-rekordy.html.amp","2021-08-24 08:45:00","Koncerny motoryzacyjne wygaszają produkcję . Ceny aut biją kolejne rekordy"
